titles,years,descriptions,genres
Elf,2003,"    After discovering he is a human, a man raised as an elf at the North Pole decides to travel to New York City to locate his real father.","Comedy, Family, Fantasy            "
How to Lose a Guy in 10 Days,2003,"    Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days.","Comedy, Romance            "
Daredevil,2003,    A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,"Action, Crime            "
Anger Management,2003,"    Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",Comedy            
Master and Commander: The Far Side of the World,2003,"    During the Napoleonic Wars, a brash British captain pushes his ship and crew to their limits in pursuit of a formidable French war vessel around South America.","Action, Adventure, Drama            "
American Wedding,2003,"    It's the wedding of Jim and Michelle and the gathering of their families and friends, including Jim's old friends from high school and Michelle's little sister.",Comedy            
The League of Extraordinary Gentlemen,2003,"    In an alternate Victorian Age world, a group of famous contemporary fantasy, science fiction, and adventure characters team up on a secret mission.","Action, Adventure, Fantasy            "
Once Upon a Time in Mexico,2003,"    Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.","Action, Crime, Thriller            "
Final Destination 2,2003,"    When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe. Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.","Horror, Thriller            "
Johnny English,2003,"    After a sudden attack on MI5, Johnny English, Britain's most confident, yet unintelligent spy, becomes Britain's only spy.","Action, Adventure, Comedy            "
Cold Mountain,2003,"    In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.","Adventure, Drama, History            "
S.W.A.T.,2003,"    An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it.","Action, Adventure, Crime            "
Good Bye Lenin!,2003,"    In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.","Comedy, Drama, Romance            "
Scary Movie 3,2003,"    Cindy must investigate mysterious crop circles and video tapes, and help the President in preventing an alien invasion.","Comedy, Horror            "
Dogville,2003,"    A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.","Crime, Drama            "
Monster,2003,"    Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.","Biography, Crime, Drama            "
Bad Santa,2003,    A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,"Comedy, Crime, Drama            "
Lara Croft Tomb Raider: The Cradle of Life,2003,"    Adventurer Lara Croft goes on a quest to save the mythical Pandora's Box, before an evil scientist finds it, and recruits a former Marine turned mercenary to assist her.","Action, Adventure, Fantasy            "
The Texas Chainsaw Massacre,2003,"    After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding loon and his family of equally psychopathic killers.",Horror            
The Recruit,2003,    A brilliant young CIA trainee is asked by his mentor to help find a mole in the Agency.,"Action, Thriller            "
Memories of Murder,2003,"    In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Action, Crime, Drama            "
Freaky Friday,2003,"    An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.","Comedy, Family, Fantasy            "
Matchstick Men,2003,    A phobic con artist and his protégé are on the verge of pulling off a lucrative swindle when the former's teenage daughter arrives unexpectedly.,"Comedy, Crime, Drama            "
Charlie's Angels: Full Throttle,2003,    The Angels investigate a series of murders which occur after the theft of a witness protection profile database.,"Action, Adventure, Comedy            "
Eternal Sunshine of the Spotless Mind,2004,"    When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Drama, Romance, Sci-Fi            "
Kill Bill: Vol. 2,2004,"    The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","Action, Crime, Thriller            "
The Incredibles,2004,"    A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","Animation, Action, Adventure            "
Million Dollar Baby,2004,    A determined woman works with a hardened boxing trainer to become a professional.,"Drama, Sport            "
Spider-Man 2,2004,    Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,"Action, Adventure, Sci-Fi            "
Harry Potter and the Prisoner of Azkaban,2004,"    Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","Adventure, Family, Fantasy            "
The Notebook,2004,"    A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.","Drama, Romance            "
Shaun of the Dead,2004,    A man's uneventful life is disrupted by the zombie apocalypse.,"Comedy, Horror            "
"I, Robot",2004,"    In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.","Action, Drama, Sci-Fi            "
Lost,2004,    The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"Adventure, Drama, Fantasy            "
Troy,2004,"    An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.","Drama, History            "
The Butterfly Effect,2004,"    Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.","Drama, Sci-Fi, Thriller            "
The Bourne Supremacy,2004,"    When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.","Action, Mystery, Thriller            "
Crash,2004,"    Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.","Crime, Drama, Thriller            "
Shrek 2,2004,"    Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.","Animation, Adventure, Comedy            "
The Day After Tomorrow,2004,"    Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.","Action, Adventure, Sci-Fi            "
House,2004,    An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"Drama, Mystery            "
The Terminal,2004,"    An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.","Comedy, Drama, Romance            "
Saw,2004,"    Two strangers, who awaken in a room with no recollection of how they got there, soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.","Horror, Mystery            "
Collateral,2004,    A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,"Crime, Drama, Thriller            "
Ocean's Twelve,2004,    Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).,"Crime, Thriller            "
The Machinist,2004,    An industrial worker who hasn't slept in a year begins to doubt his own sanity.,"Drama, Thriller            "
Hotel Rwanda,2004,"    Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography, Drama, History            "
The Aviator,2004,    A biopic depicting the early years of legendary Director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.,"Biography, Drama            "
Anchorman: The Legend of Ron Burgundy,2004,"    Ron Burgundy is San Diego's top-rated newsman in the male-dominated broadcasting of the 1970s, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor.",Comedy            
Downfall,2004,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography, Drama, History            "
Mean Girls,2004,"    Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",Comedy            
Man on Fire,2004,"    In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.","Action, Crime, Drama            "
50 First Dates,2004,"    Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the next day.","Comedy, Drama, Romance            "
Howl's Moving Castle,2004,"    When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Animation, Adventure, Family            "
Hellboy,2004,"    A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.","Action, Fantasy, Horror            "
National Treasure,2004,    A historian races to find the legendary Templar Treasure before a team of mercenaries.,"Action, Adventure, Mystery            "
Meet the Fockers,2004,    All hell breaks loose when the Byrnes family meets the Focker family for the first time.,"Comedy, Romance            "
Van Helsing,2004,    The notorious monster hunter is sent to Transylvania to stop Count Dracula who is using Dr. Frankenstein's research and a werewolf for some sinister purpose.,"Action, Adventure, Fantasy            "
The Village,2004,    A series of events tests the beliefs of a small isolated countryside village.,"Drama, Mystery, Thriller            "
Dawn of the Dead,2004,"    A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.","Action, Horror            "
Before Sunset,2004,"    Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama, Romance            "
Dodgeball,2004,    A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,"Comedy, Sport            "
The Passion of the Christ,2004,"    Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Drama            
The Chronicles of Riddick,2004,"    The wanted criminal Richard Bruno Riddick (Vin Diesel) arrives on a planet called Helion Prime and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.","Action, Adventure, Sci-Fi            "
Garden State,2004,    A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,"Comedy, Drama, Romance            "
Closer,2004,    The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,"Drama, Romance            "
The Girl Next Door,2004,    A teenager's dreams come true when a former porn star moves in next door and they fall in love.,"Comedy, Drama, Romance            "
Finding Neverland,2004,    The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,"Biography, Drama, Family            "
Napoleon Dynamite,2004,"    A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",Comedy            
Lemony Snicket's A Series of Unfortunate Events,2004,"    When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.","Adventure, Comedy, Family            "
EuroTrip,2004,"    Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.",Comedy            
Resident Evil: Apocalypse,2004,"    Alice wakes up in the Racoon city hospital after the city has been overrun by zombies, and must now make it out of the city before a nuclear bomb is dropped on the city.","Action, Horror, Sci-Fi            "
Alien vs. Predator,2004,"    During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.","Action, Adventure, Horror            "
Harold & Kumar Go to White Castle,2004,    A Korean-American office worker and his Indian-American stoner friend embark on a quest to satisfy their desire for White Castle burgers.,"Adventure, Comedy            "
Eternal Sunshine of the Spotless Mind,2004,"    When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Drama, Romance, Sci-Fi            "
Kill Bill: Vol. 2,2004,"    The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","Action, Crime, Thriller            "
The Incredibles,2004,"    A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","Animation, Action, Adventure            "
Million Dollar Baby,2004,    A determined woman works with a hardened boxing trainer to become a professional.,"Drama, Sport            "
Spider-Man 2,2004,    Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,"Action, Adventure, Sci-Fi            "
Harry Potter and the Prisoner of Azkaban,2004,"    Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","Adventure, Family, Fantasy            "
The Notebook,2004,"    A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.","Drama, Romance            "
Shaun of the Dead,2004,    A man's uneventful life is disrupted by the zombie apocalypse.,"Comedy, Horror            "
"I, Robot",2004,"    In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.","Action, Drama, Sci-Fi            "
Lost,2004,    The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"Adventure, Drama, Fantasy            "
Troy,2004,"    An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.","Drama, History            "
The Butterfly Effect,2004,"    Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.","Drama, Sci-Fi, Thriller            "
The Bourne Supremacy,2004,"    When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.","Action, Mystery, Thriller            "
Crash,2004,"    Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.","Crime, Drama, Thriller            "
Shrek 2,2004,"    Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.","Animation, Adventure, Comedy            "
The Day After Tomorrow,2004,"    Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.","Action, Adventure, Sci-Fi            "
House,2004,    An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"Drama, Mystery            "
The Terminal,2004,"    An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.","Comedy, Drama, Romance            "
Saw,2004,"    Two strangers, who awaken in a room with no recollection of how they got there, soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.","Horror, Mystery            "
Collateral,2004,    A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,"Crime, Drama, Thriller            "
Ocean's Twelve,2004,    Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).,"Crime, Thriller            "
The Machinist,2004,    An industrial worker who hasn't slept in a year begins to doubt his own sanity.,"Drama, Thriller            "
Hotel Rwanda,2004,"    Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography, Drama, History            "
The Aviator,2004,    A biopic depicting the early years of legendary Director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.,"Biography, Drama            "
Anchorman: The Legend of Ron Burgundy,2004,"    Ron Burgundy is San Diego's top-rated newsman in the male-dominated broadcasting of the 1970s, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor.",Comedy            
Downfall,2004,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography, Drama, History            "
Mean Girls,2004,"    Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",Comedy            
Man on Fire,2004,"    In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.","Action, Crime, Drama            "
50 First Dates,2004,"    Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the next day.","Comedy, Drama, Romance            "
Howl's Moving Castle,2004,"    When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Animation, Adventure, Family            "
Hellboy,2004,"    A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.","Action, Fantasy, Horror            "
National Treasure,2004,    A historian races to find the legendary Templar Treasure before a team of mercenaries.,"Action, Adventure, Mystery            "
Meet the Fockers,2004,    All hell breaks loose when the Byrnes family meets the Focker family for the first time.,"Comedy, Romance            "
Van Helsing,2004,    The notorious monster hunter is sent to Transylvania to stop Count Dracula who is using Dr. Frankenstein's research and a werewolf for some sinister purpose.,"Action, Adventure, Fantasy            "
The Village,2004,    A series of events tests the beliefs of a small isolated countryside village.,"Drama, Mystery, Thriller            "
Dawn of the Dead,2004,"    A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.","Action, Horror            "
Before Sunset,2004,"    Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama, Romance            "
Dodgeball,2004,    A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,"Comedy, Sport            "
The Passion of the Christ,2004,"    Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Drama            
The Chronicles of Riddick,2004,"    The wanted criminal Richard Bruno Riddick (Vin Diesel) arrives on a planet called Helion Prime and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.","Action, Adventure, Sci-Fi            "
Garden State,2004,    A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,"Comedy, Drama, Romance            "
Closer,2004,    The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,"Drama, Romance            "
The Girl Next Door,2004,    A teenager's dreams come true when a former porn star moves in next door and they fall in love.,"Comedy, Drama, Romance            "
Finding Neverland,2004,    The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,"Biography, Drama, Family            "
Napoleon Dynamite,2004,"    A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",Comedy            
Lemony Snicket's A Series of Unfortunate Events,2004,"    When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.","Adventure, Comedy, Family            "
EuroTrip,2004,"    Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.",Comedy            
Resident Evil: Apocalypse,2004,"    Alice wakes up in the Racoon city hospital after the city has been overrun by zombies, and must now make it out of the city before a nuclear bomb is dropped on the city.","Action, Horror, Sci-Fi            "
Alien vs. Predator,2004,"    During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.","Action, Adventure, Horror            "
Harold & Kumar Go to White Castle,2004,    A Korean-American office worker and his Indian-American stoner friend embark on a quest to satisfy their desire for White Castle burgers.,"Adventure, Comedy            "
Eternal Sunshine of the Spotless Mind,2004,"    When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Drama, Romance, Sci-Fi            "
Kill Bill: Vol. 2,2004,"    The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","Action, Crime, Thriller            "
The Incredibles,2004,"    A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","Animation, Action, Adventure            "
Million Dollar Baby,2004,    A determined woman works with a hardened boxing trainer to become a professional.,"Drama, Sport            "
Spider-Man 2,2004,    Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,"Action, Adventure, Sci-Fi            "
Harry Potter and the Prisoner of Azkaban,2004,"    Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","Adventure, Family, Fantasy            "
The Notebook,2004,"    A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.","Drama, Romance            "
Shaun of the Dead,2004,    A man's uneventful life is disrupted by the zombie apocalypse.,"Comedy, Horror            "
"I, Robot",2004,"    In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.","Action, Drama, Sci-Fi            "
Lost,2004,    The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"Adventure, Drama, Fantasy            "
Troy,2004,"    An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.","Drama, History            "
The Butterfly Effect,2004,"    Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.","Drama, Sci-Fi, Thriller            "
The Bourne Supremacy,2004,"    When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.","Action, Mystery, Thriller            "
Crash,2004,"    Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.","Crime, Drama, Thriller            "
Shrek 2,2004,"    Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.","Animation, Adventure, Comedy            "
The Day After Tomorrow,2004,"    Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.","Action, Adventure, Sci-Fi            "
House,2004,    An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"Drama, Mystery            "
The Terminal,2004,"    An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.","Comedy, Drama, Romance            "
Saw,2004,"    Two strangers, who awaken in a room with no recollection of how they got there, soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.","Horror, Mystery            "
Collateral,2004,    A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,"Crime, Drama, Thriller            "
Ocean's Twelve,2004,    Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).,"Crime, Thriller            "
The Machinist,2004,    An industrial worker who hasn't slept in a year begins to doubt his own sanity.,"Drama, Thriller            "
Hotel Rwanda,2004,"    Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography, Drama, History            "
The Aviator,2004,    A biopic depicting the early years of legendary Director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.,"Biography, Drama            "
Anchorman: The Legend of Ron Burgundy,2004,"    Ron Burgundy is San Diego's top-rated newsman in the male-dominated broadcasting of the 1970s, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor.",Comedy            
Downfall,2004,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography, Drama, History            "
Mean Girls,2004,"    Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",Comedy            
Man on Fire,2004,"    In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.","Action, Crime, Drama            "
50 First Dates,2004,"    Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the next day.","Comedy, Drama, Romance            "
Howl's Moving Castle,2004,"    When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Animation, Adventure, Family            "
Hellboy,2004,"    A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.","Action, Fantasy, Horror            "
National Treasure,2004,    A historian races to find the legendary Templar Treasure before a team of mercenaries.,"Action, Adventure, Mystery            "
Meet the Fockers,2004,    All hell breaks loose when the Byrnes family meets the Focker family for the first time.,"Comedy, Romance            "
Van Helsing,2004,    The notorious monster hunter is sent to Transylvania to stop Count Dracula who is using Dr. Frankenstein's research and a werewolf for some sinister purpose.,"Action, Adventure, Fantasy            "
The Village,2004,    A series of events tests the beliefs of a small isolated countryside village.,"Drama, Mystery, Thriller            "
Dawn of the Dead,2004,"    A nurse, a policeman, a young married couple, a salesman and other survivors of a worldwide plague that is producing aggressive, flesh-eating zombies, take refuge in a mega Midwestern shopping mall.","Action, Horror            "
Before Sunset,2004,"    Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama, Romance            "
Dodgeball,2004,    A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,"Comedy, Sport            "
The Passion of the Christ,2004,"    Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Drama            
The Chronicles of Riddick,2004,"    The wanted criminal Richard Bruno Riddick (Vin Diesel) arrives on a planet called Helion Prime and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.","Action, Adventure, Sci-Fi            "
Garden State,2004,    A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,"Comedy, Drama, Romance            "
Closer,2004,    The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,"Drama, Romance            "
The Girl Next Door,2004,    A teenager's dreams come true when a former porn star moves in next door and they fall in love.,"Comedy, Drama, Romance            "
Finding Neverland,2004,    The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,"Biography, Drama, Family            "
Napoleon Dynamite,2004,"    A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",Comedy            
Lemony Snicket's A Series of Unfortunate Events,2004,"    When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.","Adventure, Comedy, Family            "
EuroTrip,2004,"    Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.",Comedy            
Resident Evil: Apocalypse,2004,"    Alice wakes up in the Racoon city hospital after the city has been overrun by zombies, and must now make it out of the city before a nuclear bomb is dropped on the city.","Action, Horror, Sci-Fi            "
Alien vs. Predator,2004,"    During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.","Action, Adventure, Horror            "
Harold & Kumar Go to White Castle,2004,    A Korean-American office worker and his Indian-American stoner friend embark on a quest to satisfy their desire for White Castle burgers.,"Adventure, Comedy            "
Eternal Sunshine of the Spotless Mind,2004,"    When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Drama, Romance, Sci-Fi            "
Kill Bill: Vol. 2,2004,"    The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","Action, Crime, Thriller            "
The Incredibles,2004,"    A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.","Animation, Action, Adventure            "
Million Dollar Baby,2004,    A determined woman works with a hardened boxing trainer to become a professional.,"Drama, Sport            "
Spider-Man 2,2004,    Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,"Action, Adventure, Sci-Fi            "
Harry Potter and the Prisoner of Azkaban,2004,"    Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","Adventure, Family, Fantasy            "
The Notebook,2004,"    A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.","Drama, Romance            "
Shaun of the Dead,2004,    A man's uneventful life is disrupted by the zombie apocalypse.,"Comedy, Horror            "
